review_text,rating,review_no_rating,tokens,clean_text
"5.0 • Super!. iphone is ever good product to buy, but need to improve battery backup also. I think there is no need of camera short cut button, but it's good to open in single click, apple intelligence is ok ok fe... more",5,"Super!. iphone is ever good product to buy, but need to improve battery backup also. I think there is no need of camera short cut button, but it's good to open in single click, apple intelligence is ok ok fe... more","['super', 'iphone', 'ever', 'good', 'product', 'buy', 'need', 'improve', 'battery', 'backup', 'also', 'think', 'need', 'camera', 'short', 'cut', 'button', 'good', 'open', 'single', 'click', 'apple', 'intelligence', 'ok', 'ok', 'fe']",super iphone ever good product buy need improve battery backup also think need camera short cut button good open single click apple intelligence ok ok fe
5.0 • Super!. Good,5,Super!. Good,"['super', 'good']",super good
3.0 • Nice. I like this phone but there is no difference between 15 and 16 and apple Intelligence is also not in phone yet. Overall the phone is good but apple can do better,3,Nice. I like this phone but there is no difference between 15 and 16 and apple Intelligence is also not in phone yet. Overall the phone is good but apple can do better,"['nice', 'like', 'phone', 'difference', 'apple', 'intelligence', 'also', 'phone', 'yet', 'overall', 'phone', 'good', 'apple', 'better']",nice like phone difference apple intelligence also phone yet overall phone good apple better
4.0 • Very Good. Very nice phone,4,Very Good. Very nice phone,"['good', 'nice', 'phone']",good nice phone
4.0 • Good choice. Absolutely premium product...just now. Thanks flipkart I'm glad such a beautiful iphone 16 🔥❤️ Fabulous 😍 Performance too good 💯 Loved it ❤️,4,Good choice. Absolutely premium product...just now. Thanks flipkart I'm glad such a beautiful iphone 16 🔥❤️ Fabulous 😍 Performance too good 💯 Loved it ❤️,"['good', 'choice', 'absolutely', 'premium', 'productjust', 'thanks', 'flipkart', 'im', 'glad', 'beautiful', 'iphone', 'fabulous', 'performance', 'good', 'loved']",good choice absolutely premium productjust thanks flipkart im glad beautiful iphone fabulous performance good loved
5.0 • Terrific. Excellent 👌🏻,5,Terrific. Excellent 👌🏻,"['terrific', 'excellent']",terrific excellent
5.0 • Awesome. Very nice but some bugs needs to be fixed,5,Awesome. Very nice but some bugs needs to be fixed,"['awesome', 'nice', 'bug', 'need', 'fixed']",awesome nice bug need fixed
4.0 • Very Good. camera is awesome performance is great design is great display is great battery is better than other iphones but still its an iphone🙂,4,Very Good. camera is awesome performance is great design is great display is great battery is better than other iphones but still its an iphone🙂,"['good', 'camera', 'awesome', 'performance', 'great', 'design', 'great', 'display', 'great', 'battery', 'better', 'iphones', 'still']",good camera awesome performance great design great display great battery better iphones still
5.0 • Highly recommended. The best compact phone at the perfect 6.1 size. Only issue is with the outdated 60Hz display and a slower charging speed. Can't complain as it is cheaper than even the Pixel 9!,5,Highly recommended. The best compact phone at the perfect 6.1 size. Only issue is with the outdated 60Hz display and a slower charging speed. Can't complain as it is cheaper than even the Pixel 9!,"['highly', 'recommended', 'best', 'compact', 'phone', 'perfect', 'size', 'issue', 'outdated', 'display', 'slower', 'charging', 'speed', 'cant', 'complain', 'cheaper', 'even', 'pixel']",highly recommended best compact phone perfect size issue outdated display slower charging speed cant complain cheaper even pixel
3.0 • Good. Good c,3,Good. Good c,"['good', 'good', 'c']",good good c
"5.0 • Super!. I had previously used OnePlus 8 pro ,Samsung s21 ultra, Vivo x80 pro so if you are confused between iphone 16 vs android alternatives like oneplus 13 or samsung s24 i would say if your priorties ar... more",5,"Super!. I had previously used OnePlus 8 pro ,Samsung s21 ultra, Vivo x80 pro so if you are confused between iphone 16 vs android alternatives like oneplus 13 or samsung s24 i would say if your priorties ar... more","['super', 'previously', 'used', 'oneplus', 'pro', 'samsung', 'ultra', 'vivo', 'pro', 'confused', 'iphone', 'v', 'android', 'alternative', 'like', 'oneplus', 'samsung', 'would', 'say', 'priorties', 'ar']",super previously used oneplus pro samsung ultra vivo pro confused iphone v android alternative like oneplus samsung would say priorties ar
5.0 • Awesome. Camera is superb,5,Awesome. Camera is superb,"['awesome', 'camera', 'superb']",awesome camera superb
5.0 • Perfect product!. Value for money❤️❤️🖤,5,Perfect product!. Value for money❤️❤️🖤,"['perfect', 'product', 'value']",perfect product value
"5.0 • Excellent. Loved it. Apple lasts longer, may for a min period of 10 yrs. The replacement of android phones in the same period easily exceeds the high initial cost of an iPhone",5,"Excellent. Loved it. Apple lasts longer, may for a min period of 10 yrs. The replacement of android phones in the same period easily exceeds the high initial cost of an iPhone","['excellent', 'loved', 'apple', 'last', 'longer', 'may', 'min', 'period', 'yr', 'replacement', 'android', 'phone', 'period', 'easily', 'exceeds', 'high', 'initial', 'cost', 'iphone']",excellent loved apple last longer may min period yr replacement android phone period easily exceeds high initial cost iphone
"5.0 • Terrific purchase. GREAT PRODUCT, but now This time is for ANDROID , I Miss AI features in this mobile , boaring device , Google photos AI editing is wonder . But I disappointed with this iphone, samsung is far bett... more",5,"Terrific purchase. GREAT PRODUCT, but now This time is for ANDROID , I Miss AI features in this mobile , boaring device , Google photos AI editing is wonder . But I disappointed with this iphone, samsung is far bett... more","['terrific', 'purchase', 'great', 'product', 'time', 'android', 'miss', 'ai', 'feature', 'mobile', 'boaring', 'device', 'google', 'photo', 'ai', 'editing', 'wonder', 'disappointed', 'iphone', 'samsung', 'far', 'bett']",terrific purchase great product time android miss ai feature mobile boaring device google photo ai editing wonder disappointed iphone samsung far bett
"5.0 • Must buy!. The iPhone 16 is a powerful and stylish smartphone with top-tier camera and performance. A great choice if you want reliability, premium design, and smooth everyday experience",5,"Must buy!. The iPhone 16 is a powerful and stylish smartphone with top-tier camera and performance. A great choice if you want reliability, premium design, and smooth everyday experience","['must', 'buy', 'iphone', 'powerful', 'stylish', 'smartphone', 'toptier', 'camera', 'performance', 'great', 'choice', 'want', 'reliability', 'premium', 'design', 'smooth', 'everyday', 'experience']",must buy iphone powerful stylish smartphone toptier camera performance great choice want reliability premium design smooth everyday experience
5.0 • Mind-blowing purchase. Nice,5,Mind-blowing purchase. Nice,"['mindblowing', 'purchase', 'nice']",mindblowing purchase nice
2.0 • Disappointing purchase. Battery drains too fast and camera is average,2,Disappointing purchase. Battery drains too fast and camera is average,"['disappointing', 'purchase', 'battery', 'drain', 'fast', 'camera', 'average']",disappointing purchase battery drain fast camera average
1.0 • Very bad experience. Phone heats up quickly and performance is poor,1,Very bad experience. Phone heats up quickly and performance is poor,"['bad', 'experience', 'phone', 'heat', 'quickly', 'performance', 'poor']",bad experience phone heat quickly performance poor
2.0 • Not worth the money. Display quality is dull and speaker is weak,2,Not worth the money. Display quality is dull and speaker is weak,"['worth', 'money', 'display', 'quality', 'dull', 'speaker', 'weak']",worth money display quality dull speaker weak
1.0 • Worst purchase. Charging is very slow and the phone lags a lot,1,Worst purchase. Charging is very slow and the phone lags a lot,"['worst', 'purchase', 'charging', 'slow', 'phone', 'lag', 'lot']",worst purchase charging slow phone lag lot
2.0 • Average product. Build quality feels cheap and buttons are not responsive,2,Average product. Build quality feels cheap and buttons are not responsive,"['average', 'product', 'build', 'quality', 'feel', 'cheap', 'button', 'responsive']",average product build quality feel cheap button responsive
1.0 • Terrible phone. Network issues and frequent app crashes make it unusable,1,Terrible phone. Network issues and frequent app crashes make it unusable,"['terrible', 'phone', 'network', 'issue', 'frequent', 'app', 'crash', 'make', 'unusable']",terrible phone network issue frequent app crash make unusable
2.0 • Bad camera quality. Photos come blurry in low light and focus is slow,2,Bad camera quality. Photos come blurry in low light and focus is slow,"['bad', 'camera', 'quality', 'photo', 'come', 'blurry', 'low', 'light', 'focus', 'slow']",bad camera quality photo come blurry low light focus slow
1.0 • Very disappointing. Battery backup is poor and it takes too long to charge,1,Very disappointing. Battery backup is poor and it takes too long to charge,"['disappointing', 'battery', 'backup', 'poor', 'take', 'long', 'charge']",disappointing battery backup poor take long charge
2.0 • Below expectations. Phone feels slow and the software has many bugs,2,Below expectations. Phone feels slow and the software has many bugs,"['expectation', 'phone', 'feel', 'slow', 'software', 'many', 'bug']",expectation phone feel slow software many bug
1.0 • Waste of money. Speaker output is low and battery health drops quickly,1,Waste of money. Speaker output is low and battery health drops quickly,"['waste', 'money', 'speaker', 'output', 'low', 'battery', 'health', 'drop', 'quickly']",waste money speaker output low battery health drop quickly
